"Instante lectura","Horas de sol"
"2012-03-01 00:00:00.0","243.3"
"2012-04-01 00:00:00.0","122.3"
"2012-05-01 00:00:00.0","191.8"
"2012-06-01 00:00:00.0","195.5"
"2012-07-01 00:00:00.0","269.5"
"2012-08-01 00:00:00.0","261.4"
"2012-09-01 00:00:00.0","216.0"
"2012-10-01 00:00:00.0","114.8"
"2012-11-01 00:00:00.0","73.1"
"2012-12-01 00:00:00.0","42.1"
"2013-01-01 00:00:00.0","79.7"
"2013-02-01 00:00:00.0","138.8"
"2013-03-01 00:00:00.0","100.4"
"2013-04-01 00:00:00.0","181.7"
"2013-05-01 00:00:00.0","220.9"
"2013-06-01 00:00:00.0","242.3"
"2013-07-01 00:00:00.0","269.4"
"2013-08-01 00:00:00.0","303.8"
"2013-09-01 00:00:00.0","233.9"
"2013-10-01 00:00:00.0","-9999.0"
"2013-11-01 00:00:00.0","160.6"
"2013-12-01 00:00:00.0","123.7"
"2014-01-01 00:00:00.0","68.9"
"2014-02-01 00:00:00.0","75.1"
"2014-03-01 00:00:00.0","188.9"
"2014-04-01 00:00:00.0","180.5"
"2014-05-01 00:00:00.0","245.9"
"2014-06-01 00:00:00.0","222.1"
"2014-07-01 00:00:00.0","262.5"
"2014-08-01 00:00:00.0","254.9"
"2014-09-01 00:00:00.0","172.3"
"2014-10-01 00:00:00.0","160.7"
"2014-11-01 00:00:00.0","58.4"
"2014-12-01 00:00:00.0","155.7"
"2015-01-01 00:00:00.0","146.3"
"2015-02-01 00:00:00.0","128.5"
"2015-03-01 00:00:00.0","217.2"
"2015-04-01 00:00:00.0","177.6"
"2015-05-01 00:00:00.0","244.2"
"2015-06-01 00:00:00.0","243.3"
"2015-07-01 00:00:00.0","283.8"
"2015-08-01 00:00:00.0","236.1"
"2015-09-01 00:00:00.0","233.3"
"2015-10-01 00:00:00.0","132.6"
"2015-11-01 00:00:00.0","156.8"
"2015-12-01 00:00:00.0","92.6"
"2016-01-01 00:00:00.0","49.4"
"2016-02-01 00:00:00.0","137.2"
"2016-03-01 00:00:00.0","167.2"
"2016-04-01 00:00:00.0","162.1"
"2016-05-01 00:00:00.0","160.0"
"2016-06-01 00:00:00.0","249.4"
"2016-07-01 00:00:00.0","303.6"
"2016-08-01 00:00:00.0","291.0"
"2016-09-01 00:00:00.0","251.2"
"2016-10-01 00:00:00.0","166.7"
"2016-11-01 00:00:00.0","119.9"
"2016-12-01 00:00:00.0","141.8"
"2017-01-01 00:00:00.0","155.5"
"2017-02-01 00:00:00.0","130.7"
"2017-03-01 00:00:00.0","178.5"
"2017-04-01 00:00:00.0","261.5"
"2017-05-01 00:00:00.0","189.3"
"2017-06-01 00:00:00.0","251.9"
"2017-07-01 00:00:00.0","282.4"
"2017-08-01 00:00:00.0","271.3"
"2017-09-01 00:00:00.0","252.4"
"2017-10-01 00:00:00.0","229.0"
"2017-11-01 00:00:00.0","181.9"
"2017-12-01 00:00:00.0","126.5"
"2018-01-01 00:00:00.0","113.4"
"2018-02-01 00:00:00.0","147.0"
"2018-03-01 00:00:00.0","97.3"
"2018-04-01 00:00:00.0","158.0"
"2018-05-01 00:00:00.0","-9999.0"
"2018-06-01 00:00:00.0","241.7"
"2018-07-01 00:00:00.0","-9999.0"
"2018-08-01 00:00:00.0","354.8"
"2018-09-01 00:00:00.0","287.6"
"2018-10-01 00:00:00.0","168.4"
"2018-11-01 00:00:00.0","91.0"
"2018-12-01 00:00:00.0","111.5"
"2019-01-01 00:00:00.0","171.7"
"2019-02-01 00:00:00.0","197.4"
"2019-03-01 00:00:00.0","250.7"
"2019-04-01 00:00:00.0","174.9"
"2019-05-01 00:00:00.0","334.6"
"2019-06-01 00:00:00.0","251.3"
"2019-07-01 00:00:00.0","335.4"
"2019-08-01 00:00:00.0","295.7"
"2019-09-01 00:00:00.0","251.0"
"2019-10-01 00:00:00.0","149.6"
"2019-11-01 00:00:00.0","57.4"
"2019-12-01 00:00:00.0","107.8"
"2020-01-01 00:00:00.0","92.2"
"2020-02-01 00:00:00.0","160.0"
"2020-03-01 00:00:00.0","195.6"
"2020-04-01 00:00:00.0","127.4"
"2020-05-01 00:00:00.0","276.9"
"2020-06-01 00:00:00.0","288.4"
"2020-07-01 00:00:00.0","390.0"
"2020-08-01 00:00:00.0","285.7"
"2020-09-01 00:00:00.0","246.8"
"2020-10-01 00:00:00.0","147.8"
"2020-11-01 00:00:00.0","121.5"
"2020-12-01 00:00:00.0","74.9"
"2021-01-01 00:00:00.0","129.3"
"2021-02-01 00:00:00.0","83.6"
"2021-03-01 00:00:00.0","228.5"
"2021-04-01 00:00:00.0","195.9"
"2021-05-01 00:00:00.0","280.4"
"2021-06-01 00:00:00.0","278.0"
"2021-07-01 00:00:00.0","336.3"
"2021-08-01 00:00:00.0","332.2"
"2021-09-01 00:00:00.0","194.1"
"2021-10-01 00:00:00.0","187.9"
"2021-11-01 00:00:00.0","190.5"
"2021-12-01 00:00:00.0","97.3"
"2022-01-01 00:00:00.0","195.6"
"2022-02-01 00:00:00.0","168.7"
"2022-03-01 00:00:00.0","114.2"
"2022-04-01 00:00:00.0","212.3"
"2022-05-01 00:00:00.0","272.7"
"2022-06-01 00:00:00.0","174.2"
"2022-07-01 00:00:00.0","360.2"
"2022-08-01 00:00:00.0","323.0"
"2022-09-01 00:00:00.0","207.1"
"2022-10-01 00:00:00.0","148.8"
"2022-11-01 00:00:00.0","103.5"
"2022-12-01 00:00:00.0","38.4"
"2023-01-01 00:00:00.0","139.8"
"2023-02-01 00:00:00.0","204.7"
"2023-03-01 00:00:00.0","180.4"
"2023-04-01 00:00:00.0","258.4"
"2023-05-01 00:00:00.0","272.7"
"2023-06-01 00:00:00.0","48.4"
